,Status,Life expectancy,Adult Mortality,BMI,HIV/AIDS,Diphtheria,Polio,GDP,Income composition of resources,Schooling
1445,Developed,73.8,163.0,59.8,0.1,91.0,91.0,13822.8559,0.812,15.5
2153,Developing,65.2,233.0,2.1,0.5,98.0,98.0,688.8768557,0.485,10.8
789,Developing,75.5,127.0,52.1,0.1,87.0,85.0,572.14313,0.717,13.3
208,Developing,75.5,98.0,54.5,0.1,97.0,97.0,15557.8381,0.794,15.3
1514,Developing,72.5,132.0,57.4,0.1,98.0,98.0,1138.56661,0.756,15.1
856,Developing,61.4,311.0,15.5,1.0,92.0,92.0,43.7544499,0.402,5.2
2039,Developed,77.5,117.0,61.7,0.1,98.0,92.0,12565.9876,0.852,16.4
635,Developing,78.6,97.0,5.3,0.1,91.0,91.0,4697.11135,0.723,12.4
2372,Developing,67.1,29.0,41.3,0.1,9.0,89.0,818.442619,0.459,8.1
1344,Developing,71.9,131.0,54.8,0.1,99.0,97.0,1728.2659,0.706,12.7
1592,Developing,74.0,131.0,34.4,0.1,97.0,97.0,7326.744435,0.756,12.6
449,Developing,73.0,117.0,3.5,0.2,95.0,95.0,3529.61843,0.643,13.5
1237,Developing,76.0,147.0,57.2,0.1,69.0,7.0,6651.12242,0.656,10.5
1838,Developed,79.8,71.0,56.5,0.1,96.0,96.0,44453.97119,0.893,16.5
2629,Developing,54.7,355.0,17.9,5.2,72.0,72.0,31.437144,0.428,9.9
2562,Developing,65.9,183.0,34.1,0.3,83.0,76.0,44.2872665,0.579,10.7
1068,Developing,69.2,28.0,43.8,0.4,87.0,87.0,277.83438,0.567,9.6
392,Developed,72.6,157.0,6.9,0.1,95.0,95.0,5932.899677,0.755,13.5
2234,Developing,74.4,88.0,67.3,0.1,98.0,98.0,24575.434,0.841,15.8
1773,Developing,51.2,434.0,18.9,16.3,78.0,73.0,385.7567141,0.353,7.9
1087,Developing,52.9,337.0,17.3,3.0,53.0,56.0,322.811171,0.329,5.5
1766,Developing,55.3,46.0,21.8,5.1,78.0,78.0,65.985681,0.405,9.1
322,Developing,77.0,9.0,54.7,0.1,89.0,87.0,535.86555,0.735,14.2
2640,Developing,72.6,145.0,71.5,0.1,86.0,88.0,3392.64743,0.698,14.5
1785,Developing,65.4,29.0,19.8,0.5,9.0,9.0,987.7365832,0.515,8.8
2554,Developing,69.6,162.0,39.9,0.2,97.0,94.0,114.45919,0.622,11.3
232,Developing,69.8,226.0,57.7,0.1,95.0,9.0,4735.484827,0.739,14.9
1408,Developing,73.2,95.0,64.5,0.1,99.0,99.0,1654.96761,0.786,14.0
1985,Developing,64.0,37.0,41.1,1.5,72.0,61.0,77.5773486,0.446,7.9
2831,Developing,68.3,183.0,4.7,0.2,99.0,99.0,1377.8214,0.657,11.9
139,Developed,79.3,86.0,52.2,0.1,83.0,83.0,36693.4262,0.841,14.7
2248,Developing,72.6,11.0,56.2,0.1,95.0,95.0,9126.954277,0.737,11.8
1788,Developing,64.5,217.0,17.6,0.6,86.0,84.0,41.451,0.484,8.1
783,Developing,71.4,189.0,45.1,2.4,82.0,74.0,38.46578,0.66,12.3
1278,Developing,79.7,71.0,59.6,0.1,93.0,93.0,18946.99942,0.863,16.0
1646,Developed,78.5,71.0,63.9,0.1,94.0,94.0,13689.98999,0.79,13.8
1883,Developing,57.1,263.0,16.9,1.1,71.0,71.0,341.2894618,0.307,4.2
681,Developed,78.9,63.0,56.3,0.1,97.0,97.0,31386.63265,0.836,13.5
1964,Developing,76.5,122.0,54.2,0.1,94.0,95.0,7937.259931,0.756,12.8
2479,Developing,70.0,196.0,54.1,0.6,87.0,85.0,7443.85178,0.696,12.1
1137,Developing,58.6,35.0,34.0,5.1,41.0,5.0,462.486524,0.439,7.8
874,Developing,73.0,189.0,56.3,0.1,95.0,95.0,16586.452,0.829,16.1
2075,Developing,77.5,74.0,66.5,0.1,93.0,92.0,85948.746,0.827,12.4
537,Developing,48.5,414.0,15.7,5.1,4.0,49.0,712.1847694,0.303,5.5
1154,Developed,75.8,134.0,64.8,0.1,99.0,99.0,12365.6263,0.834,15.6
1661,Developing,66.0,223.0,24.2,1.3,71.0,71.0,697.7451989,0.461,7.2
